secs,x,y,velocity
238.05,16.4,413.92,8.1488
238.84,17.05,415.77,7.5932
239.63,18.23,417.26,5.7412
240.98,20.46,418,7.0376
243.1,23.22,420.77,10.186
244.69,26.1,423.74,10.9268
245.61,29.51,426.33,15.1864
246.51,33.06,429.29,16.4828
247.24,36.34,432.07,16.4828
248.37,39.35,434.85,16.1124
250.47,42.37,437.63,15.742
251.31,45.65,440.78,15.742
254.56,49.58,443.55,16.2976
256.71,53.91,445.22,16.4828
257.77,58.5,445.96,16.4828
258.3,63.36,444.48,17.4088
259.19,67.16,441.89,18.7052
260.13,70.44,437.26,18.8904
261.4,74.12,433.74,18.7052
263.01,77.26,430.96,18.52
264.68,80.28,427.81,18.52
265.66,83.3,423.92,16.8532
266.54,85.79,420.4,15.3716
267.07,87.36,417.26,14.2604
268.73,87.63,413.74,14.2604
271.22,86.97,409.85,14.4456
272.12,84.61,406.14,15.1864
272.92,82.12,403.18,12.0012
273.71,79.49,400.22,10.2604
274.24,77.13,397.07,6.5936
276.51,75.17,395.77,4.8156
277.06,73.98,395.4,3.5932
277.73,73.46,396.33,0.1852
